message,label
私密照,色情-sex word
蠻常去台中出差,正常-normal
我不想的事情逼我也沒用,正常-normal
我昨天去按摩按完現在腿超痛,正常-normal
我覺得啊最近的，最好的事就是，生命中出現了妳,正常-normal
可以給我洗澡的,正常-normal
強姦,色情-sex word
睡過頭？,正常-normal
誰都不能阻止我洗澡���,正常-normal
洗澡的時候可以拍�,正常-normal
哈哈哈哈性事床事沒辦法透過約會來確認,色情-sex word
剛剛吃皮蛋蛋餅�,正常-normal
只想到6年都沒有滾床單 就覺得 天啊 ~,色情-sex word
洗澡很痛苦,正常-normal
男生有老婆，房事不好的 ，需要老婆同意之類,色情-sex word
我想說你是不是想約砲,色情-sex word
妳會穿丁字褲嗎,色情-sex word
抓去洗澡,正常-normal
老婆我今天洗澡有拍照片,正常-normal
跟你做要戴套嗎？,色情-sex word
搞不好也是想打炮而已？,色情-sex word
我要來去洗澡,正常-normal
早上還找了個民宿讓我洗澡,正常-normal
她已婚,正常-normal
"有時候幫工人買飯買涼水
都要逼卡進去廠區裡面",正常-normal
老婆好堅強❤️,正常-normal
都不認識感覺像約砲哈哈,正常-normal
可以包養我的人,色情-sex word
你超年輕好不好 他們沒被40歲又雞巴又沒結婚的老阿姨教過而已,色情-sex word
"已婚那個真的很不ok
他台南人
老婆可能在台南
平時寂寞……

我如果他老婆我會很難過",正常-normal
如果晚上你想約，再跟我說,色情-sex word
內心色情就好�,色情-sex word
我比較喜歡巨乳���,色情-sex word
你說約砲嗎？,色情-sex word
操你知道又多痛嗎,色情-sex word
一直要跟我約砲,色情-sex word
那幫妳按摩豆豆,色情-sex word
包皮的餃子,正常-normal
啊屌大嗎,色情-sex word
我才不要跟別人打砲,色情-sex word
現在還管洗澡ㄌ喔,正常-normal
說我亂洗澡,正常-normal
其他給你 我想吃蛋蛋,正常-normal
回家要忙洗澡 睡覺,正常-normal
結果因為副業大家都想約炮,色情-sex word
按摩師很累吧,正常-normal
那感覺一邊幹你的時候,色情-sex word
沒什麼在按摩哈哈哈,正常-normal
��不跟已婚聊啊,正常-normal
我～在洗澡���,正常-normal
你希望我無套幹你嗎,色情-sex word
感覺你魅力超高一不小心就滿滿的射進去了,色情-sex word
不是都會先洗澡嗎,正常-normal
妳喜歡色色的男生嗎�,色情-sex word
那這樣要怎麼插妳..,色情-sex word
我先去洗澡 再出來吃藥,正常-normal
餵奶是怎樣,正常-normal
這就過分了�我又不是沒洗澡,正常-normal
砲友？,色情-sex word
我剛回到家 正要洗澡,正常-normal
想要跟我聊色嗎,色情-sex word
軍中出國滿麻煩的,正常-normal
我等下要去洗工作手套跟洗澡欸,正常-normal
我就叫她去睡吧我也剛下班要回家洗澡睡覺,正常-normal
指尖，繞著乳暈,色情-sex word
為什麼吃香腸要用這個表情(◐‿◑)﻿,正常-normal
喔喔，出國一直走，回來沒去按摩哈哈,正常-normal
那什麼時候我們去做愛,色情-sex word
我媽一直逼我,正常-normal
呵呵�被搓奶子嗎？還是一起洗澡幫妳搓奶子挑逗你,色情-sex word
或著上班累就幫對方按摩一下,正常-normal
我又沒說我打炮過,色情-sex word
什麼逼婚,正常-normal
我裸睡你可以齁,色情-sex word
還是可以睡妳家�,正常-normal
等洗澡,正常-normal
我剛去洗澡而已� 因為晚上會看一下書,正常-normal
我那天就超想做愛,色情-sex word
阿我在跟他在一起的時候我就把之前的固砲砲友刪得一乾二凈了,色情-sex word
我以為她打來要找我打炮,色情-sex word
就是口交&深喉嚨技術超棒,色情-sex word
不像大阪地鐵都是私鐵跟市鐵 通票用不到就要用手機逼逼 icoca,正常-normal
我可能會聽到幹話版的導覽（？,正常-normal
可能有社交牛逼症哈哈哈,正常-normal
我在找1 伴侶或性伴侶,色情-sex word
不要內射都好,色情-sex word
但幫牠洗澡應該會很崩潰�之前看影片洗完跟下雪沒兩樣哈哈,正常-normal
我媽就一直逼問我,正常-normal
我剛剛洗澡,正常-normal
會按摩算嗎,正常-normal
你喜歡喝哪種的手沖咖啡？,正常-normal
如果我們一起睡你也會這麼早起床叫我哦哈哈,正常-normal
我會用嘴和舌頭溫柔舔吸全身的肉體、舔吸妳粉嫩的陰蒂和陰唇,色情-sex word
喝妳小騷穴流出的香香淫水喲,色情-sex word
原來我在你眼中是色色的女孩,色情-sex word
洗澡？哈哈,正常-normal
有戴套嗎�,色情-sex word
我都已經洗澡了,正常-normal
逼逼 前面有新興分局（？,正常-normal
就先去洗澡了,正常-normal
請問你這種試探的語氣 是想要約砲嗎⋯⋯,色情-sex word
能啊畢竟打砲爽啊哈哈,色情-sex word
我陪聊,正常-normal
要不要來聊色哈哈,色情-sex word
然後一直被自摸 連閃牌都沒用,正常-normal
是胸部齁,色情-sex word
我本來希望沒有胸欸,色情-sex word
嗨姐姐想聊色嗎,色情-sex word
我也是 喜歡做做愛吃的東西,色情-sex word
痾，我洗澡打扮，兩個小時….,正常-normal
不正常的就是約砲啊,正常-normal
愛愛也沒有？,色情-sex word
我的第一個砲友&母狗&家奴,色情-sex word
剛去按摩,正常-normal
大家把狗狗抓來 一起洗澡的活動,正常-normal
還用按摩棒幫女網友,色情-sex word
我不會跟 不喜歡或討厭色色的人聊或是騷擾,正常-normal
所以是排斥聊色但不介意聊歪嗎,色情-sex word
看到他那麼發情的那麼淫蕩更想要了�,色情-sex word
我是砲友傳染給我的,色情-sex word
我想看奶,色情-sex word
很口愛�,正常-normal
妳喜歡我舔吸妳騷雞巴嗎！,色情-sex word
哈啊哈哈哈 洗澡也會聽,正常-normal
"難怪你會說怕麻煩
如果假日女友要你陪他出門
但你不想出門",正常-normal
我剛考完我在等成績的過程我爸爸就開始逼我要不要繼續看書 確定能考上嗎,正常-normal
我要去洗澡了 你還在忙呀？,正常-normal
不會啊 她約砲不是她的問題嗎 跟你有什麼關係,色情-sex word
換我去洗澡 等等再聊�,正常-normal
好啦弟弟先洗澡等等再聊,正常-normal
你有起床先洗澡的習慣呀～,正常-normal
因為很多人在約砲嗎�,色情-sex word
還是其實你沒有色色過,色情-sex word
那就是自嗨了�,色情-sex word
一想到你也許會和別人約砲就好難受,色情-sex word
想要跟我聊色嗎哈哈,色情-sex word
是想逼屎誰,正常-normal
你會不會覺得我做愛太激烈,色情-sex word
我不找情人��,正常-normal
好啦～你先趕快去洗澡～然後如果真的醉了就可以直接睡到明天早上起床,正常-normal
阿全身按摩都換怎樣的服裝,正常-normal
已婚 有伴侶的也很多,正常-normal
身體按摩跟腳底,正常-normal
不能不戴套嗎？,色情-sex word
不過感覺起來妳的胸部應該也是有料的吧,色情-sex word
還有妳的口交，看著妳喜歡的舔著,色情-sex word
會累累的話 可以幫妳按按摩 �,正常-normal
在跟我做愛前妳多久沒有做愛呀,色情-sex word
約砲經驗…,色情-sex word
怎麼感覺妳色色的�,色情-sex word
下載這個軟體不是為了約炮,正常-normal
所以如果只是想要約會約炮的話 可能我沒有辦法,正常-normal
內射嗎,色情-sex word
哈哈哈 我是逼不得已的�� 我從10幾歲就幫忙了 所以我看很多人了,正常-normal
怕被我吃掉呀,色情-sex word
正確的冥想 是會感覺到身體正在變輕盈 大腦的思緒被帶走 彷彿靈魂脫離肉體般的輕鬆,正常-normal
去洗洗澡睡覺唄,正常-normal
我說我還沒洗澡,正常-normal
我騎的跟傻逼似的,正常-normal
約砲的10個,色情-sex word
第一個砲友？,色情-sex word
洗澡碰到水都在跳breaking,正常-normal
就看片段的電影,正常-normal
我跟你講要在這邊遇到我這麼有趣又不是只想跟你睡覺的人不多了,正常-normal
聽起來好色,色情-sex word
不做愛會死的那種,色情-sex word
後來我就封鎖他了 他感覺就是想約砲,色情-sex word
操你也是很餓ㄟ,色情-sex word
我下班會先回家洗澡 騎車覺得很髒,正常-normal
咪咪眼很好啊,正常-normal
你會按摩嗎？�,正常-normal
我單純幹話哈哈哈,正常-normal
喜歡調教的意思嗎,色情-sex word
怕睡過頭,正常-normal
"巧克力囊腫的飲食禁忌：
1.辛辣厚味的食物：菸酒、炸物、高糖、速食食品、蔥蒜椒等刺激性食物
2.寒性食物：食用屬性寒涼的食物，容易使經凝滯，對子宮內膜異位症不利，像是瓜果類、檸檬、鳳梨、白菜、竹筍、茄子、牡蠣等。
3.含有荷爾蒙前驅物食物：靈芝、山藥、豆類、雞睪丸、葡萄籽、蜂王乳、月見草油等食物",正常-normal
也是我又不是操的那一方我是被操的,色情-sex word
也有想約砲的,色情-sex word
想約砲嗎,色情-sex word
本來就是吧 哈哈哈哈 可是我慾望滿大的~~ 要找一個也很喜歡愛愛的女生嗎~,色情-sex word
抱歉我剛剛去洗澡,正常-normal
印象蛋糕蠻好吃 手沖也蠻多種 搭起來不錯,正常-normal
那你先去洗澡,正常-normal
沒啦哈哈我又沒有約砲,正常-normal
什麼叫床咚,正常-normal
都是約炮的哈哈哈,色情-sex word
不吃香蕉？？？,正常-normal
是吖，戴套沒感覺,色情-sex word
沒人逼酒了,正常-normal
"我看有些開車逼很緊的
腦袋不知道裝什麼",正常-normal
是啊！不然會被現實給逼急了,正常-normal
差不多快被操死了,色情-sex word
隨便啦，沒有也沒關係，問問而已，反正用交軟主要也不是來約砲的,正常-normal
不用吃也會勃起啦,色情-sex word
"哈哈
好啦
不然你看你吃完幾點來得及我在去找你幫你按摩",色情-sex word
那從後面雙手抓著你的屁股把你的肉穴撐開，在加快速度抽插是不是很下流,色情-sex word
或是去按摩一下,正常-normal
我呢 想找可以肉體交流的夥伴,色情-sex word
而且後面他就直接開始吃事前 就都沒在戴套了,色情-sex word
而且上班其實蠻有壓力的，感覺來時真的很想做愛打砲打到被榨乾�,色情-sex word
剛剛洗澡的時候超級痛,正常-normal
我是想要找能跟我一起說幹話的伴,正常-normal
也不一定要炮友啦哈哈哈,正常-normal
富奸的畫風改變很大,正常-normal
所以 你會約砲哦！？,色情-sex word
一定要戴套的ㄅ哈哈,色情-sex word
你幫我按摩好了,正常-normal
沒人說色色不能舒壓啊�,色情-sex word
我剛按摩完～,正常-normal
也覺得 性事要和,色情-sex word
交往起來 才性福,色情-sex word
幫我的車洗澡,正常-normal
就睡過頭了,正常-normal
欣賞妳的屁股還有美腿,色情-sex word
做愛可以,色情-sex word
我的是聊18�️,色情-sex word
喔幹這樣子好色喔,色情-sex word
可可愛愛懂你的奇奇怪怪,正常-normal
賣肉圓的@@,正常-normal
幹嘛啦說得很像我是什麼打砲機器欸你,色情-sex word
"姐珍珠美人魚�‍♀️換白皙美腿為第一張照片啊。

好唷姊姊出門小心，要戴口罩今天東北季風增強霧霾多",正常-normal
除非我用半逼的,正常-normal
晚上你能幫我帶飲料嗎�,正常-normal
小母狗當然要好好紀錄一下,色情-sex word
那我能把精液射在寶寶嘴巴嘛,色情-sex word
我不內射,正常-normal
所以你討厭色色嗎,色情-sex word
你的眼睛會笑欸 好口愛喔..,正常-normal
做愛，,色情-sex word
不然要色色妳囉～,色情-sex word
妳沒收過下體照？,色情-sex word
但洗澡不能鎖門��,正常-normal
今天假日你在幹嘛！,正常-normal
短期約會對我來說就是約會不是約砲,正常-normal
你等下可以觀察我是不是已婚,正常-normal
舔乳頭跟小穴,色情-sex word
那妳想要跟我聊色嗎,色情-sex word
我要来去洗澡了,正常-normal
可以色色的朋友,色情-sex word
說晚上十點後不能洗澡,正常-normal
妳喜歡被舔吸愛撫嗎,色情-sex word
妳有試過按摩棒嗎,色情-sex word
就是你愛愛的時候有辦法拋開一切道德&人性嗎,色情-sex word
都直接做愛？,色情-sex word
齁 沒有我的晚安就睡過頭喔�,正常-normal
對啊～～超級口愛,正常-normal
如果女生跟你說 可以無套內射 你ok嗎 變成小頭思考,色情-sex word
"我生理期規律 
不擔心懷孕
但真的沒想到 性病給我這麼突然��",色情-sex word
強姦的果實不會甜,色情-sex word
就有點想要找一個人陪我做任何事，可能也包含做愛吧，感覺比較不會寂寞,色情-sex word
戴套哪裡都可以呀,色情-sex word
多久沒做愛了？,色情-sex word
不會的 以後我要刮痧按摩我是需要你的,色情-sex word
所以妳之前有砲友是嗎,色情-sex word
但不是說酒後亂性是假的,色情-sex word
但好像大部份配到的都在聊幹話 �,正常-normal
有！我在洗澡前是不會到床上的 還有不會在床上吃東西,正常-normal
一夜情ㄛ,色情-sex word
因為我還沒洗澡,正常-normal
正要洗澡,正常-normal
妳是說只跟妳做愛嗎,色情-sex word
寶寶要怎麼幫我口交..,色情-sex word
原來想洗澡讓我偷看啊,色情-sex word
我的臉有寫我喜歡做愛嗎？,正常-normal
去洗澡早點休息啊,正常-normal
但你也不能步步逼近吧,正常-normal
但我發現我真的都在隨便回幹話 然後一個都記不起來,正常-normal
哈哈哈哈哈 約砲仔轉正真的不用想欸,正常-normal
你有抱抱睡過嗎哈哈,色情-sex word
給妳按摩,正常-normal
學弟們很好笑，走過去十個，六個低頭在看我胸，我那天穿比較辣，他們低頭看奶真的很明顯(´-ω-`),色情-sex word
正要去洗澡哈哈,正常-normal
哎呀好色喔,色情-sex word
跟朋友吃飯+按摩,正常-normal
你是要我問你房事的哦,色情-sex word
真 處男,色情-sex word
盲貓按摩,正常-normal
胸部大嗎,色情-sex word
人美性騷擾真的多,色情-sex word
你去洗澡啦,正常-normal
小學被逼學客家話,正常-normal
我以為你是幹話的,正常-normal
我怕痛，所以我都沒去按摩,正常-normal
真的 我都覺得那個就是委婉的要約砲,正常-normal
哪裡有胸貼�,色情-sex word
我用歐樂逼的某一隻，等下看看蛤,正常-normal
按摩過後 比較好睡吧？,正常-normal
你要幫我按摩嗎～,正常-normal
那個只有胸部小的女生才需要,色情-sex word
所以你還沒洗澡ㄛ,正常-normal
哈哈逼他相親,正常-normal
好啦 不幹話了,正常-normal
可可愛愛的一個人,正常-normal
沒有包皮過長吧,色情-sex word
你色色的,色情-sex word
原來你喜歡大胸部��,色情-sex word
不是要聊色嗎哈哈,色情-sex word
享受在愛愛當中,色情-sex word
準備要去洗澡,正常-normal
阿不就幹話��,正常-normal
我想說你應該會po 很多幹話,正常-normal
我也是等等也要來洗澡睡覺了,正常-normal
我會寫上妳的名字,正常-normal
不是你逼伯樂要求升職,正常-normal
砲友ㄛ？,色情-sex word
固定的砲友 不然就是情侶吧,色情-sex word
反正不管怎樣都要打砲哈哈哈,色情-sex word
哇操你說到重點了 我就是那個老一輩�,正常-normal
"好好休息啊
去按摩或捕眠什麼的",正常-normal
請問你性欲強嗎,色情-sex word
應該就是看bmi超標而已吧 外表頂多肉肉的？,正常-normal
砲友喔,色情-sex word
我只擦化妝水 � 所以我洗澡很快,正常-normal
把我媽嚇到咪咪毛毛,正常-normal
那有胸肌嗎,色情-sex word
要戴套就好啊哈哈,色情-sex word
逼成廚師,正常-normal
好色喔寶貝,色情-sex word
昨天差點喝醉 酒後亂性,色情-sex word
我先去洗澡了,正常-normal
那可以一直抽插妳嘛,色情-sex word
你會戴套嗎,色情-sex word
但也可能是我的個性關係,正常-normal
妳應該也有打砲過吧,色情-sex word
所以你說 你約女生見面後 女生主動找你約炮喔！,色情-sex word
唉後來還長達八九個月無性生活,色情-sex word
嗯啊 因為他們很會講幹話,正常-normal
打砲才找你嗎？,色情-sex word
呦呦呦，難得看到早上你回覆我耶,正常-normal
妳牛逼,正常-normal
我先去洗澡�,正常-normal
還是幹話,正常-normal
那你不是都找床伴而已,色情-sex word
重點自己都沒性生活 也難過,色情-sex word
我們班上只有2、3對口交，其他都在做,色情-sex word
沒有做愛的很少,色情-sex word
我不行 放假就會想睡懶覺,正常-normal
問妳一事，妳都不會想要有性生活嗎？,色情-sex word
我朋友是gay 蠻多人想包養他的 那種大叔,色情-sex word
不然就是我洗澡完 看情況,正常-normal
也是洗澡的時候用的 哈哈,正常-normal
那我過去�陪睡,色情-sex word
每次洗澡我都會重複講,正常-normal
玩三P那個男生是處男！他處男也不給女朋友跑去玩掉,色情-sex word
可是那沒辦法做愛啊,正常-normal
調教嗎,色情-sex word
今天早上你还记得我吗�,正常-normal
現在好想看你淫水,色情-sex word
是淫紋,色情-sex word
我已經把自己逼到絕境,正常-normal
我都看片而已啦,色情-sex word
你還說你不是約炮,色情-sex word
"吃下面流很多❤️的水
在讓你幹❤️的抽插",色情-sex word
很久沒有愛愛了,色情-sex word
在飛機上打砲感覺蠻屌的,色情-sex word
乳房外科,正常-normal
"沒關係你想睡你就先睡
但記得跟我說一聲�
讓我知道一下
不然我怕密你會吵到妳",正常-normal
所以你不會約炮喔,色情-sex word
我想說你發我洗澡卡 我就也去洗頭洗澡了 我剛出來,正常-normal
所以我講了一個幹話這樣 沒事 笑死,正常-normal
我在健身房就洗澡了,正常-normal
該不會還沒破處,色情-sex word
變相陪聊嗎？,正常-normal
我又沒有巨乳,色情-sex word
那例如口交呢？,色情-sex word
摸胸部舔胸部❤️,色情-sex word
我超機掰��,正常-normal
根本一到日你都沒有空,正常-normal
拒色情，不發生關係，經濟上我可以幫忙你打的你做的到？,正常-normal
還有寵物陪睡 好爽,正常-normal
好啊洗澡卡我就收下了,正常-normal
按摩完想說怎麼在打雷,色情-sex word
我幹話也蠻多的,正常-normal
我們今天年輕的都被逼到一個人吃掉半個大披薩,正常-normal
我可能會晚點出門，我睡過頭了���,正常-normal
下半身沒穿才是脫光光,色情-sex word
你的胸部比較沒有起伏 這要是不是不敏感呀？,色情-sex word
我跟你聊天有時候也會勃起啊,色情-sex word
要戴套套,色情-sex word
你的短暫約會 可約是約砲？,色情-sex word
因為我今天比較晚洗澡,正常-normal
他媽還叫我不要逼他工作,正常-normal
我自己是有按摩棒男友,色情-sex word
你喜歡大屁股ㄚ,色情-sex word
喜歡有人幫你按摩胸部嗎？,色情-sex word
下班回家不洗澡直接睡喔,正常-normal
欸我認真不約砲,正常-normal
我和他睡你床�,正常-normal
剛好胸部也是肉 所以肉肉女 還比較受歡迎��,正常-normal
� 小肉肉 口愛❤️,正常-normal
我的也很雞掰啊,正常-normal
我覺得朋友 更勝於發生肉體關係..,正常-normal
包括約砲嗎,色情-sex word
"我剛跑去洗澡
等等才要就寢",正常-normal
就是為了想跟你聊色 聊生活 跟你變熟啊,色情-sex word
處女約砲那集我有聽過欸,色情-sex word
我也要去洗澡�,正常-normal
想看洗澡��,色情-sex word
他可能去洗澡,正常-normal
我朋友說一看就只想打砲,正常-normal
今天睡過頭 直接休假,正常-normal
應該有陪睡,正常-normal
聊天講幹話很有益身心不是嗎,正常-normal
等等要幫狗洗澡 拖到最後一天休假才弄,正常-normal
回家可能會一直自慰吧,色情-sex word
我下面軟軟的是怎麼插你,色情-sex word
狗狗欸超口愛的,正常-normal
頭要悶進胸部裡,色情-sex word
你不會跟他說 你有F讓他自嗨,色情-sex word
想不到也是色色的�,色情-sex word
感覺你好喜歡被意淫,色情-sex word
為何男生覺得除了做愛其他被奪走都還好,色情-sex word
剛剛睡過了哈哈 今天上早班 下班回家就直接倒,正常-normal
可以色色了嗎,色情-sex word
你先洗澡,正常-normal
我先洗澡 等等回覆,正常-normal
在小咬一下奶子,色情-sex word
奶子呈現垂涎欲滴的樣子，好好吃,色情-sex word
會戴套就還好,色情-sex word
好啦我要去洗澡,正常-normal
坐在按摩椅上，按摩舒壓中。,正常-normal
還說不約炮 不隨便的,正常-normal
"哈哈哈哈也懶得洗澡
但還是得洗",正常-normal
我逼逼檢舉你�,正常-normal
如果我說我已婚你信嗎？,正常-normal
那個公豬的蛋蛋超級大,色情-sex word
正常幫女生按摩,正常-normal
怎麼可能乖乖按摩,正常-normal
如果買春的地方有這個機制應該很賺錢啊,色情-sex word
做愛舒服做重要啦！,色情-sex word
哪看奶���,色情-sex word
幹話比較有趣 妹子也比較能接受 我感覺啦,正常-normal
網路的都是約砲的�,色情-sex word
不走約砲路線ㄟ,正常-normal
晚上你要幹嘛,正常-normal
這我今天回的 我對我異性朋友就比較會講幹話,正常-normal
他也會洗澡好來見我,正常-normal
他曾要我下班不洗澡來間他,色情-sex word
那你知道哪裡可以洗澡嗎,正常-normal
所以他超愛我不洗澡,正常-normal
都在交配,色情-sex word
可是今天不想被調教嘛��,色情-sex word
私下密他 說她 愛凹老闆酒 還一直強迫老闆跟你做愛 什麼的,色情-sex word
你胸部好大,色情-sex word
我常常睡過頭,正常-normal
現在要去洗澡,正常-normal
有辦法在我面前流淚好像很委屈大家逼她找小三逼她出軌,正常-normal
有的乳暈大,色情-sex word
但我沒有洗澡的東西,正常-normal
洗澡精,正常-normal
那你真的在看片嗎,色情-sex word
但我第一次聽到按摩店有行政ㄉ,正常-normal
抱著妳去鏡子前插妳��,色情-sex word
我一般不交炮友的,正常-normal
有遇過出去吃飯結果要約砲的,色情-sex word
台中出差,正常-normal
常常做愛嗎,色情-sex word
要逼死多少人 ㄏㄏㄏ,正常-normal
我先來去洗澡 剛從一中回家而已,正常-normal
以前小時候還會被逼著要進佛堂做早晚課，之後整個放飛自我～,正常-normal
幹話喔,正常-normal
調情也很重要吧,色情-sex word
又不是按摩師傅,正常-normal
自慰啊幹,色情-sex word
我爸媽就會去房間做愛,色情-sex word
想洗澡也不用這樣啊？�,正常-normal
我當然知道會晨勃,色情-sex word
我現在要去洗澡了,正常-normal
喜歡聊色的女生不多，大都不會說,正常-normal
逼他們說好吃,正常-normal
那你差不多該洗澡刷牙了,正常-normal
愛愛的,色情-sex word
因為照片都比較裸露嗎哈哈哈哈,正常-normal
但找不到地方洗澡,正常-normal
"我剛洗澡完整理完
剛剛有去敷面膜整理衣服",正常-normal
等等洗澡就要睡了,正常-normal
啊妳遇到約砲都怎麼回,色情-sex word
你先趕快洗澡吧 不要拖,正常-normal
這是一般沒有勃起的狀態下,色情-sex word
所以你才說想要去按摩嗎,正常-normal
不過我要先去洗澡,正常-normal
我拿洗澡卡手酸了,正常-normal
前男友又不喜歡做愛,正常-normal
很久沒做愛嗎,色情-sex word
那我要去洗澡了喔,正常-normal
怎麼不是催我去洗澡,正常-normal
回家速速洗澡,正常-normal
想被我幹嗎,色情-sex word
沒事我臭嘴講幹話而已,正常-normal
先去洗澡 心情超好的 哈哈哈,正常-normal
現在要怎麼愛愛,色情-sex word
你說不聊色的餒,色情-sex word
就聊說有沒有戴套 怕多出一個弟弟,色情-sex word
�但想回家洗澡,正常-normal
要脫光光又要拍得好看,色情-sex word
妳會去按摩嗎？,正常-normal
等我一下我洗澡吃飯好不好,正常-normal
等下要去洗澡,正常-normal
回來還可以幫妳按摩,正常-normal
對啊性事合蠻重要的,色情-sex word
正常的按摩,正常-normal
蛋蛋的哀傷…,正常-normal
我太想看整顆奶和乳暈，所以我傳的的沒穿的給妳看，接下來傷眼睛�請斟酌,色情-sex word
要找人包養,色情-sex word
那晚上你在幹嘛,正常-normal
我是來約的啦�,色情-sex word
前幾天洗澡 耳朵可能進水 發炎了,正常-normal
我今天也睡過頭：）我晚半小時進辦公室哈哈哈哈哈,正常-normal
所以只好在騎車的時候 洗澡的時候 放聲大唱,正常-normal
還沒洗澡耶 在看影片,正常-normal
哦哦哦，也有愛愛關係就是了,色情-sex word
找床伴,色情-sex word
我是說幫妳按摩欸,正常-normal
他限制我是要逼我說謊嗎,正常-normal
看來。這位大哥是已婚人士？,正常-normal
但是不換床伴的話,色情-sex word
我當然會是個好老公囉，只是時候還沒到吧,正常-normal
想插妳了,色情-sex word
洗澡ㄚ,正常-normal
好拉我先去洗澡,正常-normal
明知道奧客機掰,色情-sex word
那一夜情的也算喔,色情-sex word
你有在約砲哦,色情-sex word
我等等要洗澡,正常-normal
很奇怪嗎？男生應該很少做什麼臉部按摩吧哈哈,正常-normal
他是來約砲的,色情-sex word
愛愛嗎,色情-sex word
但我很注重性生活,色情-sex word
弟弟還沒洗澡,正常-normal
超級有一直逼,正常-normal
根本就是想找人約砲 超可怕,正常-normal
這樣對話好色,色情-sex word
"我上個月中有跟朋友一起去台中玩過夜
不過我們分房睡
一個人的房間真的超安靜 洗澡外面都沒有聲音",正常-normal
是妳不習慣按摩啦～多去幾次妳就會習慣 然後就會覺得超爽 還會越來越大力哈哈哈,正常-normal
這我就不知道了，不過看到很多都寫啥 詐騙 約炮 傳直銷往左滑,正常-normal
幹你才騷0,色情-sex word
職軍都超渣超亂了，常常都在約砲,色情-sex word
但我不找床伴,正常-normal
而且不會聊色,正常-normal
到底要去哪裡按摩,正常-normal
你連尿道陰道都有故事,色情-sex word
你可以先回家洗澡啊,正常-normal
我真的沒有感覺你在洗澡哈哈哈,正常-normal
沒洗澡又很想睡一下的話，就會躺在上面��,正常-normal
"嗯 我想想 
我要先洗澡洗頭",正常-normal
趕快洗澡睡覺吧,正常-normal
我的意思是都戴套發生嗎,色情-sex word
抽個菸準備洗澡哈哈,正常-normal
但我現在要去洗澡哈哈哈,正常-normal
走吧寶 我們去洗澡,色情-sex word
洗澡完差不多了,正常-normal
約砲的市場就是一堆男生在搶一個女的啊,色情-sex word
約砲的話男生大部分都可以接受吧,色情-sex word
但我其實不喜歡純約砲因為我不喜歡沒有感情的性愛,色情-sex word
肯尼是不是想色色,色情-sex word
而且按摩師們技術都很穩定，所以都不用特別指定,正常-normal
難怪我會看上你,正常-normal
啊妳們什麼時後才能洗澡澡昂,正常-normal
私密處修短？,色情-sex word
身材就⋯⋯有胸有腰嚕哈哈凹凸有致，只是說長相不是我天菜的樣子,色情-sex word
所以之前都是碰到約砲的嗎,正常-normal
結果今年六月想說趁年輕雕塑一下體態 想體驗被關注的感覺,正常-normal
我沒繼續減就是因為胸部縮水太多了 �,正常-normal
交友軟體好像很多約砲,正常-normal
我喜歡色色的妳 那會更好,色情-sex word
"按摩哈哈
你呢",正常-normal
幫妳洗澡+按摩作為回報�,正常-normal
約炮仔之類的,色情-sex word
逼～,正常-normal
回家可以色色嗎！,色情-sex word
如果真的愛妳怎麼會去想找砲友,色情-sex word
等等去洗澡澡,正常-normal
不常按摩的話不知道很正常,正常-normal
可以看胸部跟鮑魚嗎,色情-sex word
我不能摸胸部喔,色情-sex word
不要逼我���,正常-normal
那都會自己幫他洗澡嘛�,正常-normal
應該也不是打砲不舒服,正常-normal
因為很多人找砲友,色情-sex word
啊妳之前出去有偷偷買可樂嗎�,色情-sex word
哇按摩,正常-normal
剛按摩完,正常-normal
怎麼可以跟一個陌生人說那麼多幹話,正常-normal
還要做愛心餅乾不小心有了,正常-normal
對啊沒辦法 因為逼自己工作,正常-normal
我是指安全期、內射,色情-sex word
妳這樣妳們也沒有性生活了吧,色情-sex word
職軍都把體力留在約砲而已,色情-sex word
然後按摩覺得亂按…,正常-normal
需要陪睡嗎,色情-sex word
逼聲後請留言～～～～,正常-normal
你要幫他多按摩,正常-normal
所以我覺得我不算會約砲,正常-normal
那你去洗澡,正常-normal
我剛還查了一下河北彩花是誰���,正常-normal
我是蠻想找個姊姊 但是還沒被包養過,色情-sex word
我剛洗澡,正常-normal
牛逼 我都得一個A流快痊癒了,正常-normal
需要我幫妳按摩嗎,色情-sex word
哪種茶？外送茶？���,色情-sex word
好吧，你去洗澡吧，現在我也去洗澡,正常-normal
單純肉體上的需求而已,色情-sex word
我發現早上你都不會出沒餒哈哈,正常-normal
欸我沒在約砲的喔,正常-normal
你弟看片也會告訴你哦哈哈哈,色情-sex word
還駡我妓女,正常-normal
你不是聊色的吧,正常-normal
我愛熟女阿,正常-normal
那我幫妳按摩,正常-normal
早上妳很少用手機喔,正常-normal
我剛去洗澡啦,正常-normal
也很喜歡這種感覺，不怕單色色差,正常-normal
沒有要約炮的 真的,正常-normal
你說沒有胸肌啊,正常-normal
我主管逼我下載哈哈哈哈,正常-normal
哈哈哈你睡你朋友家喔,正常-normal
不可以色誘我～,色情-sex word
所以你約砲都有成功？,色情-sex word
小弟也是靠賣幹話維生的�,正常-normal
等等洗澡�,正常-normal
可以看得出來這是幹話,正常-normal
結果你有洗澡嗎�,正常-normal
你需要陪睡嗎,色情-sex word
什麼叫做愛,色情-sex word
不如買這種小尺寸塞肛門用的小屌,色情-sex word
胸部？,色情-sex word
